Year,Week,Week Ending Date,Total US Deaths (unweighted)
2017,1,2017-01-07,59901
2017,2,2017-01-14,61118
2017,3,2017-01-21,59445
2017,4,2017-01-28,58178
2017,5,2017-02-04,58541
2017,6,2017-02-11,59164
2017,7,2017-02-18,58596
2017,8,2017-02-25,58386
2017,9,2017-03-04,57360
2017,10,2017-03-11,57598
2017,11,2017-03-18,56781
2017,12,2017-03-25,57168
2017,13,2017-04-01,55829
2017,14,2017-04-08,55269
2017,15,2017-04-15,54971
2017,16,2017-04-22,53168
2017,17,2017-04-29,53407
2017,18,2017-05-06,52753
2017,19,2017-05-13,52078
2017,20,2017-05-20,52578
2017,21,2017-05-27,51102
2017,22,2017-06-03,51369
2017,23,2017-06-10,51526
2017,24,2017-06-17,50937
2017,25,2017-06-24,51320
2017,26,2017-07-01,50743
2017,27,2017-07-08,51091
2017,28,2017-07-15,50127
2017,29,2017-07-22,50231
2017,30,2017-07-29,49496
2017,31,2017-08-05,50213
2017,32,2017-08-12,50365
2017,33,2017-08-19,50297
2017,34,2017-08-26,49662
2017,35,2017-09-02,50962
2017,36,2017-09-09,51114
2017,37,2017-09-16,51822
2017,38,2017-09-23,51354
2017,39,2017-09-30,51464
2017,40,2017-10-07,52243
2017,41,2017-10-14,51704
2017,42,2017-10-21,52366
2017,43,2017-10-28,52682
2017,44,2017-11-04,53838
2017,45,2017-11-11,53404
2017,46,2017-11-18,53916
2017,47,2017-11-25,54229
2017,48,2017-12-02,54904
2017,49,2017-12-09,55751
2017,50,2017-12-16,57538
2017,51,2017-12-23,59674
2017,52,2017-12-30,61255
2018,1,2018-01-06,66320
2018,2,2018-01-13,67672
2018,3,2018-01-20,64823
2018,4,2018-01-27,62927
2018,5,2018-02-03,61128
2018,6,2018-02-10,61247
2018,7,2018-02-17,59937
2018,8,2018-02-24,57943
2018,9,2018-03-03,56833
2018,10,2018-03-10,57228
2018,11,2018-03-17,56466
2018,12,2018-03-24,55920
2018,13,2018-03-31,55046
2018,14,2018-04-07,55423
2018,15,2018-04-14,55354
2018,16,2018-04-21,54155
2018,17,2018-04-28,53848
2018,18,2018-05-05,53875
2018,19,2018-05-12,52221
2018,20,2018-05-19,50741
2018,21,2018-05-26,51057
2018,22,2018-06-02,51163
2018,23,2018-06-09,52127
2018,24,2018-06-16,51515
2018,25,2018-06-23,51224
2018,26,2018-06-30,50996
2018,27,2018-07-07,51814
2018,28,2018-07-14,51340
2018,29,2018-07-21,50733
2018,30,2018-07-28,50425
2018,31,2018-08-04,50800
2018,32,2018-08-11,51135
2018,33,2018-08-18,50423
2018,34,2018-08-25,50582
2018,35,2018-09-01,50746
2018,36,2018-09-08,50433
2018,37,2018-09-15,51215
2018,38,2018-09-22,51714
2018,39,2018-09-29,51100
2018,40,2018-10-06,52489
2018,41,2018-10-13,51976
2018,42,2018-10-20,53115
2018,43,2018-10-27,53883
2018,44,2018-11-03,53771
2018,45,2018-11-10,53695
2018,46,2018-11-17,54824
2018,47,2018-11-24,54983
2018,48,2018-12-01,55214
2018,49,2018-12-08,56100
2018,50,2018-12-15,56533
2018,51,2018-12-22,56674
2018,52,2018-12-29,56168
2019,1,2019-01-05,58466
2019,2,2019-01-12,58515
2019,3,2019-01-19,58359
2019,4,2019-01-26,58037
2019,5,2019-02-02,58279
2019,6,2019-02-09,58655
2019,7,2019-02-16,58123
2019,8,2019-02-23,58136
2019,9,2019-03-02,58080
2019,10,2019-03-09,58675
2019,11,2019-03-16,58027
2019,12,2019-03-23,57221
2019,13,2019-03-30,56779
2019,14,2019-04-06,56719
2019,15,2019-04-13,55638
2019,16,2019-04-20,54593
2019,17,2019-04-27,53775
2019,18,2019-05-04,54123
2019,19,2019-05-11,53605
2019,20,2019-05-18,53687
2019,21,2019-05-25,53829
2019,22,2019-06-01,52861
2019,23,2019-06-08,53300
2019,24,2019-06-15,52796
2019,25,2019-06-22,52426
2019,26,2019-06-29,52327
2019,27,2019-07-06,52509
2019,28,2019-07-13,52079
2019,29,2019-07-20,51801
2019,30,2019-07-27,51805
2019,31,2019-08-03,51549
2019,32,2019-08-10,51859
2019,33,2019-08-17,51134
2019,34,2019-08-24,51151
2019,35,2019-08-31,51298
2019,36,2019-09-07,51960
2019,37,2019-09-14,51750
2019,38,2019-09-21,51917
2019,39,2019-09-28,52878
2019,40,2019-10-05,52683
2019,41,2019-10-12,53223
2019,42,2019-10-19,54442
2019,43,2019-10-26,54156
2019,44,2019-11-02,54215
2019,45,2019-11-09,55806
2019,46,2019-11-16,56044
2019,47,2019-11-23,56321
2019,48,2019-11-30,55608
2019,49,2019-12-07,57420
2019,50,2019-12-14,57782
2019,51,2019-12-21,57585
2019,52,2019-12-28,58627
2020,1,2020-01-04,60180
2020,2,2020-01-11,60737
2020,3,2020-01-18,59366
2020,4,2020-01-25,59164
2020,5,2020-02-01,58835
2020,6,2020-02-08,59484
2020,7,2020-02-15,58818
2020,8,2020-02-22,58915
2020,9,2020-02-29,59335
2020,10,2020-03-07,59699
2020,11,2020-03-14,58675
2020,12,2020-03-21,59227
2020,13,2020-03-28,63031
2020,14,2020-04-04,72299
2020,15,2020-04-11,79101
2020,16,2020-04-18,76814
2020,17,2020-04-25,73913
2020,18,2020-05-02,69305
2020,19,2020-05-09,66816
2020,20,2020-05-16,64481
2020,21,2020-05-23,61634
2020,22,2020-05-30,59685
2020,23,2020-06-06,58911
2020,24,2020-06-13,58038
2020,25,2020-06-20,58002
2020,26,2020-06-27,58511
2020,27,2020-07-04,59831
2020,28,2020-07-11,61949
2020,29,2020-07-18,63180
2020,30,2020-07-25,64250
2020,31,2020-08-01,64239
2020,32,2020-08-08,63723
2020,33,2020-08-15,63647
2020,34,2020-08-22,62571
2020,35,2020-08-29,61109
2020,36,2020-09-05,60247
2020,37,2020-09-12,59669
2020,38,2020-09-19,59741
2020,39,2020-09-26,60617
2020,40,2020-10-03,59808
2020,41,2020-10-10,61782
2020,42,2020-10-17,60649
2020,43,2020-10-24,62195
2020,44,2020-10-31,63428
2020,45,2020-11-07,67592
2020,46,2020-11-14,68826
2020,47,2020-11-21,71687
2020,48,2020-11-28,73311
2020,49,2020-12-05,77435
2020,50,2020-12-12,82010
2020,51,2020-12-19,82944
2020,52,2020-12-26,84373
2020,53,2021-01-02,87035
2021,1,2021-01-09,87095
2021,2,2021-01-16,87415
2021,3,2021-01-23,83682
2021,4,2021-01-30,79202
2021,5,2021-02-06,76514
2021,6,2021-02-13,71513
2021,7,2021-02-20,69529
2021,8,2021-02-27,66740
2021,9,2021-03-06,63703
2021,10,2021-03-13,61867
2021,11,2021-03-20,60374
2021,12,2021-03-27,60841
2021,13,2021-04-03,58699
2021,14,2021-04-10,60998
2021,15,2021-04-17,59149
2021,16,2021-04-24,60260
2021,17,2021-05-01,59858
2021,18,2021-05-08,59014
2021,19,2021-05-15,58484
2021,20,2021-05-22,58760
2021,21,2021-05-29,57343
2021,22,2021-06-05,57459
2021,23,2021-06-12,57160
2021,24,2021-06-19,57262
2021,25,2021-06-26,56933
2021,26,2021-07-03,57530
2021,27,2021-07-10,57255
2021,28,2021-07-17,57217
2021,29,2021-07-24,58439
2021,30,2021-07-31,60317
2021,31,2021-08-07,63800
2021,32,2021-08-14,67050
2021,33,2021-08-21,69982
2021,34,2021-08-28,72188
2021,35,2021-09-04,73524
2021,36,2021-09-11,73745
2021,37,2021-09-18,73335
2021,38,2021-09-25,72188
2021,39,2021-10-02,71350
2021,40,2021-10-09,69136
2021,41,2021-10-16,67575
2021,42,2021-10-23,67064
2021,43,2021-10-30,66479
2021,44,2021-11-06,66648
2021,45,2021-11-13,67467
2021,46,2021-11-20,66964
2021,47,2021-11-27,67969
2021,48,2021-12-04,70202
2021,49,2021-12-11,72150
2021,50,2021-12-18,71335
2021,51,2021-12-25,72326
2021,52,2022-01-01,74436
2022,1,2022-01-08,79866
2022,2,2022-01-15,85133
2022,3,2022-01-22,85746
2022,4,2022-01-29,85126
2022,5,2022-02-05,81391
2022,6,2022-02-12,77318
2022,7,2022-02-19,71068
2022,8,2022-02-26,66224
2022,9,2022-03-05,64574
2022,10,2022-03-12,61932
2022,11,2022-03-19,60660
2022,12,2022-03-26,58674
2022,13,2022-04-02,58157
2022,14,2022-04-09,57946
2022,15,2022-04-16,57937
2022,16,2022-04-23,56807
2022,17,2022-04-30,57412
2022,18,2022-05-07,57571
2022,19,2022-05-14,58004
2022,20,2022-05-21,57785
2022,21,2022-05-28,57200
2022,22,2022-06-04,57700
2022,23,2022-06-11,58184
2022,24,2022-06-18,57941
2022,25,2022-06-25,58437
2022,26,2022-07-02,58257
