Year,Week,Week Ending Date,Cause,Deaths
2015,1,2015-01-10,Cancer,11884.0
2015,2,2015-01-17,Cancer,11952.0
2015,3,2015-01-24,Cancer,11680.0
2015,4,2015-01-31,Cancer,11747.0
2015,5,2015-02-07,Cancer,11671.0
2015,6,2015-02-14,Cancer,11543.0
2015,7,2015-02-21,Cancer,11392.0
2015,8,2015-02-28,Cancer,11418.0
2015,9,2015-03-07,Cancer,11250.0
2015,10,2015-03-14,Cancer,11475.0
2015,11,2015-03-21,Cancer,11674.0
2015,12,2015-03-28,Cancer,11756.0
2015,13,2015-04-04,Cancer,11237.0
2015,14,2015-04-11,Cancer,11377.0
2015,15,2015-04-18,Cancer,11577.0
2015,16,2015-04-25,Cancer,11234.0
2015,17,2015-05-02,Cancer,11429.0
2015,18,2015-05-09,Cancer,11377.0
2015,19,2015-05-16,Cancer,11353.0
2015,20,2015-05-23,Cancer,11082.0
2015,21,2015-05-30,Cancer,11322.0
2015,22,2015-06-06,Cancer,11161.0
2015,23,2015-06-13,Cancer,11167.0
2015,24,2015-06-20,Cancer,11284.0
2015,25,2015-06-27,Cancer,11272.0
2015,26,2015-07-04,Cancer,11431.0
2015,27,2015-07-11,Cancer,11088.0
2015,28,2015-07-18,Cancer,11392.0
2015,29,2015-07-25,Cancer,11364.0
2015,30,2015-08-01,Cancer,11146.0
2015,31,2015-08-08,Cancer,11084.0
2015,32,2015-08-15,Cancer,11329.0
2015,33,2015-08-22,Cancer,11392.0
2015,34,2015-08-29,Cancer,11351.0
2015,35,2015-09-05,Cancer,11460.0
2015,36,2015-09-12,Cancer,11307.0
2015,37,2015-09-19,Cancer,11422.0
2015,38,2015-09-26,Cancer,11380.0
2015,39,2015-10-03,Cancer,11517.0
2015,40,2015-10-10,Cancer,11642.0
2015,41,2015-10-17,Cancer,11338.0
2015,42,2015-10-24,Cancer,11378.0
2015,43,2015-10-31,Cancer,11455.0
2015,44,2015-11-07,Cancer,11524.0
2015,45,2015-11-14,Cancer,11274.0
2015,46,2015-11-21,Cancer,11460.0
2015,47,2015-11-28,Cancer,11256.0
2015,48,2015-12-05,Cancer,11227.0
2015,49,2015-12-12,Cancer,11660.0
2015,50,2015-12-19,Cancer,11273.0
2015,51,2015-12-26,Cancer,11373.0
2015,52,2016-01-02,Cancer,11046.0
2016,1,2016-01-09,Cancer,11749.0
2016,2,2016-01-16,Cancer,11840.0
2016,3,2016-01-23,Cancer,11646.0
2016,4,2016-01-30,Cancer,11850.0
2016,5,2016-02-06,Cancer,11396.0
2016,6,2016-02-13,Cancer,11818.0
2016,7,2016-02-20,Cancer,11628.0
2016,8,2016-02-27,Cancer,11551.0
2016,9,2016-03-05,Cancer,11777.0
2016,10,2016-03-12,Cancer,11846.0
2016,11,2016-03-19,Cancer,11456.0
2016,12,2016-03-26,Cancer,11527.0
2016,13,2016-04-02,Cancer,11450.0
2016,14,2016-04-09,Cancer,11454.0
2016,15,2016-04-16,Cancer,11401.0
2016,16,2016-04-23,Cancer,11359.0
2016,17,2016-04-30,Cancer,11153.0
2016,18,2016-05-07,Cancer,11378.0
2016,19,2016-05-14,Cancer,11204.0
2016,20,2016-05-21,Cancer,11269.0
2016,21,2016-05-28,Cancer,11097.0
2016,22,2016-06-04,Cancer,11028.0
2016,23,2016-06-11,Cancer,11136.0
2016,24,2016-06-18,Cancer,11143.0
2016,25,2016-06-25,Cancer,11200.0
2016,26,2016-07-02,Cancer,11076.0
2016,27,2016-07-09,Cancer,11245.0
2016,28,2016-07-16,Cancer,11218.0
2016,29,2016-07-23,Cancer,11207.0
2016,30,2016-07-30,Cancer,11423.0
2016,31,2016-08-06,Cancer,11283.0
2016,32,2016-08-13,Cancer,11478.0
2016,33,2016-08-20,Cancer,11521.0
2016,34,2016-08-27,Cancer,11377.0
2016,35,2016-09-03,Cancer,11489.0
2016,36,2016-09-10,Cancer,11396.0
2016,37,2016-09-17,Cancer,11319.0
2016,38,2016-09-24,Cancer,11317.0
2016,39,2016-10-01,Cancer,11436.0
2016,40,2016-10-08,Cancer,11585.0
2016,41,2016-10-15,Cancer,11560.0
2016,42,2016-10-22,Cancer,11485.0
2016,43,2016-10-29,Cancer,11424.0
2016,44,2016-11-05,Cancer,11373.0
2016,45,2016-11-12,Cancer,11519.0
2016,46,2016-11-19,Cancer,11764.0
2016,47,2016-11-26,Cancer,11318.0
2016,48,2016-12-03,Cancer,11519.0
2016,49,2016-12-10,Cancer,11510.0
2016,50,2016-12-17,Cancer,11835.0
2016,51,2016-12-24,Cancer,11637.0
