Year,Count
2026,15328
2025,35304
2024,25444
2023,17766
2022,15416
2021,12829
2020,9187
2019,5981
2018,3572
2017,2072
2016,1393
2015,1074
2014,856
2013,644
2012,451
2011,435
2010,348
2009,261
2008,203
2007,190
2006,190
2005,133
2004,92
2003,70
2002,58
2001,66
2000,50
1999,41
1998,49
1997,38
1996,46
1995,40
1994,38
1993,31
1992,19
1991,25
1990,25
1989,26
1988,22
1987,14
1986,15
1985,11
1984,8
1983,7
1982,6
1981,7
1980,6
1978,1
1976,2
1975,2
1974,1
1973,3
1972,1
1970,1
1967,1
1964,1
