position,filename,lung_pixels,lung_area_cm2,n_lung_regions
1,thorax_axial_001.jpg,0,0.0,0
2,thorax_axial_002.jpg,0,0.0,0
3,thorax_axial_003.jpg,0,0.0,0
4,thorax_axial_004.jpg,0,0.0,0
5,thorax_axial_005.jpg,15013,12.4,2
6,thorax_axial_006.jpg,29827,24.6,2
7,thorax_axial_007.jpg,43039,35.5,2
8,thorax_axial_008.jpg,53271,43.9,2
9,thorax_axial_009.jpg,62677,51.6,2
10,thorax_axial_010.jpg,73268,60.4,2
11,thorax_axial_011.jpg,84662,69.7,2
12,thorax_axial_012.jpg,95373,78.6,2
13,thorax_axial_013.jpg,105784,87.2,2
14,thorax_axial_014.jpg,115024,94.8,2
15,thorax_axial_015.jpg,123963,102.1,2
16,thorax_axial_016.jpg,133800,110.2,2
17,thorax_axial_017.jpg,144579,119.1,2
18,thorax_axial_018.jpg,155933,128.5,2
19,thorax_axial_019.jpg,166853,137.5,2
20,thorax_axial_020.jpg,177814,146.5,2
21,thorax_axial_021.jpg,188632,155.4,2
22,thorax_axial_022.jpg,197903,163.0,2
23,thorax_axial_023.jpg,206841,170.4,2
24,thorax_axial_024.jpg,215665,177.7,2
25,thorax_axial_025.jpg,225242,185.6,2
26,thorax_axial_026.jpg,235041,193.6,2
27,thorax_axial_027.jpg,244398,201.4,2
28,thorax_axial_028.jpg,254012,209.3,2
29,thorax_axial_029.jpg,263100,216.8,2
30,thorax_axial_030.jpg,271422,223.6,2
31,thorax_axial_031.jpg,279927,230.6,2
32,thorax_axial_032.jpg,288029,237.3,2
33,thorax_axial_033.jpg,295534,243.5,2
34,thorax_axial_034.jpg,302991,249.6,2
35,thorax_axial_035.jpg,305938,252.1,2
36,thorax_axial_036.jpg,307835,253.6,2
37,thorax_axial_037.jpg,313943,258.6,2
38,thorax_axial_038.jpg,305710,251.9,2
39,thorax_axial_039.jpg,315310,259.8,2
40,thorax_axial_040.jpg,321303,264.7,2
41,thorax_axial_041.jpg,324120,267.0,2
42,thorax_axial_042.jpg,332315,273.8,2
43,thorax_axial_043.jpg,336455,277.2,2
44,thorax_axial_044.jpg,335009,276.0,2
45,thorax_axial_045.jpg,334530,275.6,2
46,thorax_axial_046.jpg,340416,280.5,2
47,thorax_axial_047.jpg,342507,282.2,2
48,thorax_axial_048.jpg,344079,283.5,2
49,thorax_axial_049.jpg,341556,281.4,2
50,thorax_axial_050.jpg,354397,292.0,2
51,thorax_axial_051.jpg,362119,298.3,2
52,thorax_axial_052.jpg,360891,297.3,2
53,thorax_axial_053.jpg,362169,298.4,2
54,thorax_axial_054.jpg,362350,298.5,2
55,thorax_axial_055.jpg,358641,295.5,2
56,thorax_axial_056.jpg,360418,296.9,2
57,thorax_axial_057.jpg,358871,295.7,2
58,thorax_axial_058.jpg,358227,295.1,2
59,thorax_axial_059.jpg,355523,292.9,2
60,thorax_axial_060.jpg,363627,299.6,2
61,thorax_axial_061.jpg,370225,305.0,2
62,thorax_axial_062.jpg,375681,309.5,2
63,thorax_axial_063.jpg,374550,308.6,2
64,thorax_axial_064.jpg,374531,308.6,2
65,thorax_axial_065.jpg,375097,309.0,2
66,thorax_axial_066.jpg,375989,309.8,2
67,thorax_axial_067.jpg,376035,309.8,2
68,thorax_axial_068.jpg,376263,310.0,2
69,thorax_axial_069.jpg,377923,311.4,2
70,thorax_axial_070.jpg,379241,312.4,2
71,thorax_axial_071.jpg,379472,312.6,2
72,thorax_axial_072.jpg,378282,311.7,2
73,thorax_axial_073.jpg,375888,309.7,2
74,thorax_axial_074.jpg,367639,302.9,2
75,thorax_axial_075.jpg,353564,291.3,2
76,thorax_axial_076.jpg,338695,279.0,2
77,thorax_axial_077.jpg,319449,263.2,2
78,thorax_axial_078.jpg,302974,249.6,2
79,thorax_axial_079.jpg,285928,235.6,2
80,thorax_axial_080.jpg,268058,220.8,2
81,thorax_axial_081.jpg,248384,204.6,2
82,thorax_axial_082.jpg,227366,187.3,2
83,thorax_axial_083.jpg,206746,170.3,2
84,thorax_axial_084.jpg,186077,153.3,2
85,thorax_axial_085.jpg,164183,135.3,2
86,thorax_axial_086.jpg,143256,118.0,2
87,thorax_axial_087.jpg,124149,102.3,2
88,thorax_axial_088.jpg,107021,88.2,2
89,thorax_axial_089.jpg,91283,75.2,2
90,thorax_axial_090.jpg,77030,63.5,2
91,thorax_axial_091.jpg,64151,52.9,2
92,thorax_axial_092.jpg,52595,43.3,2
93,thorax_axial_093.jpg,41925,34.5,2
94,thorax_axial_094.jpg,27945,23.0,1
95,thorax_axial_095.jpg,20324,16.7,1
96,thorax_axial_096.jpg,16124,13.3,1
97,thorax_axial_097.jpg,12401,10.2,1
98,thorax_axial_098.jpg,9024,7.4,1
99,thorax_axial_099.jpg,6130,5.1,1
100,thorax_axial_100.jpg,0,0.0,0
101,thorax_axial_101.jpg,0,0.0,0
102,thorax_axial_102.jpg,0,0.0,0
103,thorax_axial_103.jpg,0,0.0,0
104,thorax_axial_104.jpg,0,0.0,0
105,thorax_axial_105.jpg,0,0.0,0
106,thorax_axial_106.jpg,0,0.0,0
#
# Source images: Mikael Haggstrom, "Scrollable high-resolution computed
#   tomography images of a normal thorax", Wikimedia Commons, public domain (CC0).
#   https://commons.wikimedia.org/wiki/Scrollable_high-resolution_computed_tomography_images_of_a_normal_thorax
# Lung areas: estimated from the windowed JPEG slices by intensity segmentation
#   (air-density regions inside the body silhouette; compact lung-sized components;
#   vessel holes filled), converted to cm^2 with the field-of-view-derived scale
#   0.287 mm/pixel (374 mm / 1303 px).
