year,Drama,Comedy,Documentary,Action,Thriller,Horror,Crime,Romance,Adventure,Science Fiction,Biography,Fantasy,Musical,War,Mystery,History,Western,Family
1950,516,285,114,18,22,3,128,57,59,8,20,12,90,39,15,15,216,6
1951,483,286,70,12,18,8,87,52,51,16,17,19,79,29,13,15,109,5
1952,446,281,106,16,12,10,67,54,48,9,27,8,88,21,15,12,112,8
1953,542,323,76,29,22,12,91,61,73,25,29,15,90,41,17,20,85,7
1954,508,265,108,28,13,16,89,53,70,17,29,13,90,28,19,22,61,9
1955,549,265,73,21,28,15,116,68,71,22,36,14,90,44,12,25,62,8
1956,508,250,93,19,22,18,88,71,54,21,26,14,88,41,15,27,75,6
1957,515,282,89,21,18,46,117,71,47,40,33,23,66,60,11,16,74,12
1958,514,299,93,28,22,53,94,81,57,42,21,21,77,68,9,24,64,11
1959,538,292,80,17,29,39,89,78,63,40,19,21,61,65,14,20,43,13
1960,511,316,111,25,30,43,121,71,46,27,31,24,63,50,14,19,39,12
1961,528,293,111,25,23,37,91,55,78,34,23,36,53,56,17,21,24,17
1962,541,298,117,33,26,45,93,51,89,30,23,26,67,50,15,15,25,13
1963,479,273,148,43,35,39,85,49,79,27,19,33,55,57,23,16,19,10
1964,504,300,144,34,30,60,94,57,107,30,16,27,74,65,25,28,42,7
1965,467,265,128,53,38,42,63,57,92,41,25,24,76,44,22,24,56,9
1966,448,269,154,49,31,50,79,37,76,48,27,24,57,51,12,21,58,11
1967,534,320,162,65,45,49,67,45,80,49,21,31,61,50,9,23,52,11
1968,584,300,171,75,36,51,98,78,75,35,28,33,74,72,15,33,60,17
1969,679,349,185,67,57,52,89,80,79,46,26,32,57,68,16,35,44,13
1970,675,340,144,94,47,74,88,83,65,38,27,38,60,88,14,30,66,8
1971,666,354,184,101,80,103,97,62,77,39,34,34,49,48,17,44,70,11
1972,719,344,221,158,91,127,99,62,70,41,37,26,53,43,27,32,76,13
1973,707,384,180,191,86,128,140,64,87,36,40,31,60,43,27,38,56,15
1974,780,407,202,222,96,136,162,83,77,47,42,43,46,49,36,38,51,11
1975,747,430,195,185,93,108,143,79,99,44,50,49,64,49,29,36,53,9
1976,761,426,215,218,90,97,158,86,80,43,49,39,53,44,29,53,35,17
1977,802,382,203,207,114,106,139,82,90,55,48,56,42,49,29,44,33,18
1978,787,383,188,189,113,127,122,103,100,70,47,45,44,60,38,33,29,15
1979,867,457,204,211,90,112,116,92,86,89,38,45,54,51,40,33,19,27
1980,824,451,205,226,96,130,121,90,97,95,50,46,81,58,38,30,20,21
1981,722,428,203,199,84,124,95,80,72,63,49,34,67,52,26,49,14,10
1982,766,412,208,166,100,132,91,74,70,68,39,40,71,58,25,33,12,12
1983,745,365,208,188,73,103,86,86,73,77,46,49,61,57,27,33,9,9
1984,791,338,212,182,78,76,78,93,70,87,42,49,61,61,22,33,7,20
1985,768,329,243,188,86,88,91,88,80,87,40,59,61,46,30,20,11,14
1986,763,366,199,196,90,96,82,96,82,78,44,57,50,55,33,30,7,14
1987,798,367,228,206,95,126,106,98,68,102,50,68,76,53,25,33,10,14
