genre,year,count
Drama,1950,516
Drama,1951,483
Drama,1952,446
Drama,1953,542
Drama,1954,508
Drama,1955,549
Drama,1956,508
Drama,1957,515
Drama,1958,514
Drama,1959,538
Drama,1960,511
Drama,1961,528
Drama,1962,541
Drama,1963,479
Drama,1964,504
Drama,1965,467
Drama,1966,448
Drama,1967,534
Drama,1968,584
Drama,1969,679
Drama,1970,675
Drama,1971,666
Drama,1972,719
Drama,1973,707
Drama,1974,780
Drama,1975,747
Drama,1976,761
Drama,1977,802
Drama,1978,787
Drama,1979,867
Drama,1980,824
Drama,1981,722
Drama,1982,766
Drama,1983,745
Drama,1984,791
Drama,1985,768
Drama,1986,763
Drama,1987,798
Drama,1988,802
Drama,1989,798
Drama,1990,740
Drama,1991,794
Drama,1992,713
Drama,1993,695
Drama,1994,718
Drama,1995,700
Drama,1996,743
Drama,1997,774
Drama,1998,845
Drama,1999,885
Drama,2000,895
Drama,2001,985
Drama,2002,1056
Drama,2003,1065
Drama,2004,1176
Drama,2005,1232
Drama,2006,1306
Drama,2007,1410
Drama,2008,1448
Drama,2009,1535
Drama,2010,1485
Drama,2011,1550
Drama,2012,1602
Drama,2013,1606
Drama,2014,1692
Drama,2015,1787
Drama,2016,1912
Drama,2017,1859
Drama,2018,1772
Drama,2019,1615
Drama,2020,1014
Drama,2021,1016
Drama,2022,1194
Drama,2023,1049
Drama,2024,867
Drama,2025,783
Comedy,1950,285
Comedy,1951,286
Comedy,1952,281
Comedy,1953,323
Comedy,1954,265
Comedy,1955,265
Comedy,1956,250
Comedy,1957,282
Comedy,1958,299
Comedy,1959,292
Comedy,1960,316
Comedy,1961,293
Comedy,1962,298
Comedy,1963,273
Comedy,1964,300
Comedy,1965,265
Comedy,1966,269
Comedy,1967,320
Comedy,1968,300
Comedy,1969,349
Comedy,1970,340
Comedy,1971,354
Comedy,1972,344
Comedy,1973,384
Comedy,1974,407
Comedy,1975,430
Comedy,1976,426
Comedy,1977,382
Comedy,1978,383
Comedy,1979,457
Comedy,1980,451
Comedy,1981,428
Comedy,1982,412
Comedy,1983,365
Comedy,1984,338
Comedy,1985,329
Comedy,1986,366
Comedy,1987,367
Comedy,1988,347
Comedy,1989,358
Comedy,1990,371
Comedy,1991,356
Comedy,1992,360
Comedy,1993,347
Comedy,1994,369
Comedy,1995,321
Comedy,1996,365
Comedy,1997,412
Comedy,1998,391
Comedy,1999,454
Comedy,2000,417
Comedy,2001,450
Comedy,2002,459
Comedy,2003,479
Comedy,2004,511
Comedy,2005,491
Comedy,2006,598
Comedy,2007,582
Comedy,2008,626
Comedy,2009,602
Comedy,2010,601
Comedy,2011,671
Comedy,2012,710
Comedy,2013,692
Comedy,2014,761
Comedy,2015,728
Comedy,2016,837
Comedy,2017,787
Comedy,2018,764
Comedy,2019,690
Comedy,2020,459
Comedy,2021,457
Comedy,2022,550
Comedy,2023,511
Comedy,2024,353
Comedy,2025,315
Documentary,1950,114
Documentary,1951,70
Documentary,1952,106
Documentary,1953,76
Documentary,1954,108
Documentary,1955,73
Documentary,1956,93
Documentary,1957,89
Documentary,1958,93
Documentary,1959,80
Documentary,1960,111
Documentary,1961,111
Documentary,1962,117
Documentary,1963,148
Documentary,1964,144
Documentary,1965,128
Documentary,1966,154
Documentary,1967,162
Documentary,1968,171
Documentary,1969,185
Documentary,1970,144
Documentary,1971,184
Documentary,1972,221
Documentary,1973,180
Documentary,1974,202
Documentary,1975,195
Documentary,1976,215
Documentary,1977,203
Documentary,1978,188
Documentary,1979,204
Documentary,1980,205
Documentary,1981,203
Documentary,1982,208
Documentary,1983,208
Documentary,1984,212
Documentary,1985,243
Documentary,1986,199
Documentary,1987,228
Documentary,1988,217
Documentary,1989,257
Documentary,1990,220
Documentary,1991,228
Documentary,1992,230
Documentary,1993,218
Documentary,1994,218
Documentary,1995,271
Documentary,1996,274
Documentary,1997,283
Documentary,1998,300
Documentary,1999,276
Documentary,2000,325
Documentary,2001,389
Documentary,2002,445
Documentary,2003,536
Documentary,2004,599
Documentary,2005,771
Documentary,2006,835
Documentary,2007,893
Documentary,2008,961
Documentary,2009,982
Documentary,2010,1002
Documentary,2011,952
Documentary,2012,1019
Documentary,2013,1023
Documentary,2014,1083
Documentary,2015,1127
Documentary,2016,3410
Documentary,2017,1156
Documentary,2018,1096
Documentary,2019,999
Documentary,2020,735
Documentary,2021,831
Documentary,2022,766
Documentary,2023,677
Documentary,2024,691
Documentary,2025,486
Action,1950,18
Action,1951,12
Action,1952,16
Action,1953,29
Action,1954,28
Action,1955,21
Action,1956,19
Action,1957,21
Action,1958,28
Action,1959,17
Action,1960,25
Action,1961,25
Action,1962,33
Action,1963,43
Action,1964,34
Action,1965,53
Action,1966,49
Action,1967,65
Action,1968,75
Action,1969,67
Action,1970,94
Action,1971,101
Action,1972,158
Action,1973,191
Action,1974,222
Action,1975,185
Action,1976,218
Action,1977,207
Action,1978,189
Action,1979,211
Action,1980,226
Action,1981,199
Action,1982,166
Action,1983,188
Action,1984,182
Action,1985,188
Action,1986,196
Action,1987,206
Action,1988,213
Action,1989,227
Action,1990,216
Action,1991,216
Action,1992,176
Action,1993,209
Action,1994,225
